"SC","名称","市場区分","貸借申込日","決済日","発表元","貸借値段（円）","貸株超過数（株・口）","最高料率（1日・円）","品貸料率（円）","品貸料率（％）","品貸日数","前日料率（1日・円）","備考","規制"
"4885","室町ケミカル","東証","20231020","20231024","日証金","752.00","0","1.60","-","0","-","-","満額",""
"4886","あすか製薬ＨＤ","東証","20231020","20231024","日証金","1717.00","5300","3.60","0.00","0","1","-","",""
"4887","サワイグループＨＤ","東証","20231020","20231024","日証金","4575.00","70300","9.20","0.10","0.00218579","1","0.10","",""
"4902","コニカミノルタ","東証","20231020","20231024","日証金","450.20","0","1.00","-","0","-","0.00","満額",""
"4914","高砂香料工業","東証","20231020","20231024","日証金","3055.00","6700","6.20","0.10","0.00327332","1","0.10","",""
"4929","アジュバンＨＤ","東証","20231020","20231024","日証金","920.00","9100","2.00","0.05","0.00543478","1","0.05","",""
"4934","Ｐアンチエイジ","東証","20231020","20231024","日証金","953.00","0","4.00","-","0","-","-","満額","停止"
"4958","長谷川香料","東証","20231020","20231024","日証金","3070.00","600","6.20","0.00","0","1","0.00","",""
"4971","メック","東証","20231020","20231024","日証金","3580.00","19900","7.20","0.10","0.0027933","1","0.10","",""
"4997","日本農薬","東証","20231020","20231024","日証金","650.00","69700","1.40","0.05","0.00769231","1","0.00","",""
"5036","日本ビジネスシステム","東証","20231020","20231024","日証金","1384.00","51100","5.60","0.05","0.00361272","1","0.05","","注意"
"5076","インフロニアＨＤ","東証","20231020","20231024","日証金","1541.50","0","3.20","-","0","-","-","満額",""
"5101","横浜ゴム","東証","20231020","20231024","日証金","2849.50","0","5.80","-","0","-","-","満額",""
"5122","オカモト","東証","20231020","20231024","日証金","5040.00","600","10.20","0.10","0.00198413","1","0.10","",""
"5129","ＦＩＸＥＲ","東証","20231020","20231024","日証金","1210.00","1900","5.20","0.05","0.00413223","1","-","","注意"
"5131","リンカーズ","東証","20231020","20231024","日証金","260.00","84700","1.00","0.00","0","1","0.00","",""
