"SC","申込日","信用貸借区分","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率","制度信用買残高","制度信用買残高 前週比","制度信用売残高","制度信用売残高 前週比","一般信用買残高","一般信用買残高 前週比","一般信用売残高","一般信用売残高 前週比"
"8107","20230630","2","1252700","-700","-","-","-","1135700","-1200","-","-","117000","500","-","-"
"8111","20230630","2","88000","22100","94900","-16800","0.93","70900","19100","81900","-5100","17100","3000","13000","-11700"
"8113","20230630","2","164000","8100","98200","-1700","1.67","141000","12900","49500","-2700","23000","-4800","48700","1000"
"8114","20230630","2","59100","-8100","67500","-5600","0.88","55100","-3800","40300","-800","4000","-4300","27200","-4800"
"8115","20230630","2","20500","400","-","-","-","4200","100","-","-","16300","300","-","-"
"8117","20230630","2","36500","-300","1500","-1100","24.33","23500","-400","1500","-1100","13000","100","-","-"
"8118","20230630","2","200100","1300","14000","2900","14.29","24100","900","14000","2900","176000","400","-","-"
"8119","20230630","1","11100","100","-","-","-","5100","-600","-","-","6000","700","-","-"
"8123","20230630","1","13600","-","-","-","-","5300","-100","-","-","8300","100","-","-"
"8125","20230630","2","835000","-10500","6800","800","122.79","819100","-4400","3700","600","15900","-6100","3100","200"
"8127","20230630","2","231800","-3600","21400","7400","10.83","95100","-9100","20900","7400","136700","5500","500","-"
"8129","20230630","2","9500","-1600","40200","-10200","0.24","5200","-2000","28800","-500","4300","400","11400","-9700"
"8130","20230630","2","1092000","-68000","63800","800","17.12","41400","-2200","30700","800","1050600","-65800","33100","-"
"8131","20230630","2","20100","800","4800","-400","4.19","12800","900","4500","-400","7300","-100","300","-"
"8132","20230630","2","2800","2100","15400","700","0.18","2000","1400","4000","700","800","700","11400","-"
"8133","20230630","2","52400","6200","8000","2900","6.55","15900","4200","8000","2900","36500","2000","-","-"
"8135","20230630","1","334100","10800","-","-","-","250200","5400","-","-","83900","5400","-","-"
"8136","20230630","2","136500","-70800","609800","166900","0.22","107700","-66900","531800","156300","28800","-3900","78000","10600"
"8137","20230630","2","38700","5800","7000","800","5.53","29800","4400","7000","800","8900","1400","-","-"
"8138","20230630","1","50900","1700","-","-","-","700","-200","-","-","50200","1900","-","-"
"8139","20230630","2","896000","53100","-","-","-","716300","64300","-","-","179700","-11200","-","-"
"8140","20230630","2","100800","9500","23200","-300","4.34","20900","7800","15700","-400","79900","1700","7500","100"
"8141","20230630","2","576300","5300","8600","-1100","67.01","130100","-3900","8400","-1200","446200","9200","200","100"
"8142","20230630","2","59400","-17200","92100","-25500","0.64","42000","-7900","91200","-26100","17400","-9300","900","600"
"8143","20230630","1","59500","-","-","-","-","31800","-","-","-","27700","-","-","-"
"8144","20230630","1","6100","400","-","-","-","2300","-","-","-","3800","400","-","-"
"8147","20230630","1","17100","800","-","-","-","12800","800","-","-","4300","-","-","-"
"8150","20230630","2","309900","-5800","9100","-5200","34.05","80500","-3800","4100","-5200","229400","-2000","5000","-"
"8151","20230630","2","50000","-7100","6700","1500","7.46","12900","-2400","6000","1500","37100","-4700","700","-"
"8152","20230630","1","49900","600","-","-","-","12400","500","-","-","37500","100","-","-"
"8153","20230630","2","19200","2000","13400","-10000","1.43","13700","2500","11500","-6300","5500","-500","1900","-3700"
"8154","20230630","2","478600","36800","53300","100","8.98","63300","-6600","51500","100","415300","43400","1800","-"
"8155","20230630","2","100600","300","29600","-600","3.4","62100","-1300","19300","-800","38500","1600","10300","200"
"8157","20230630","2","145700","-12200","7300","1000","19.96","52900","-5500","6500","1000","92800","-6700","800","-"
"8158","20230630","2","231500","-6400","17500","-1300","13.23","193000","-6400","15400","-1300","38500","-","2100","-"
"8159","20230630","2","352100","9400","54600","-4900","6.45","36600","-2300","52100","-3300","315500","11700","2500","-1600"
"8160","20230630","2","21500","-600","50500","10000","0.43","16700","-300","28300","-","4800","-300","22200","10000"
"8163","20230630","2","108600","-28500","1140200","385000","0.1","82400","-29500","31100","-8000","26200","1000","1109100","393000"
"8165","20230630","2","49200","-140500","321000","-1305400","0.15","37600","-139100","119100","-70800","11600","-1400","201900","-1234600"
