"SC","名称","決算期","決算発表日（本決算）","売上高（百万円）","営業利益（百万円）","経常利益（百万円）","当期利益（百万円）","総資産（百万円）","自己資本（百万円）","資本金（百万円）","有利子負債（百万円）","自己資本比率","ROE","ROA","発行済株式数"
"1803","清水建設","202203","20220512","1482961","45145","50419","47761","2128356","824497","74365","495138","38.7","5.83","2.37","788514613"
"1805","飛島建設","202203","20220513","117665","4575","4212","3219","114632","43864","5519","16194","38.3","7.53","2.73","19310436"
"1807","佐藤渡辺","202203","20220512","37452","2489","2569","1728","32632","19031","1751","137","58.3","9.36","5.32","3195700"
"1808","長谷工コーポレーション","202203","20220512","909708","82702","81871","54490","1081907","417662","57500","311841","38.6","13.42","5.35","300794397"
"1810","松井建設","202203","20220513","82468","2415","2779","1792","68428","42879","4000","-","62.7","4.2","2.51","30580000"
"1811","錢高組","202203","20220512","101903","2247","3425","1812","155098","74303","3695","13650","47.9","2.43","1.17","7353140"
"1812","鹿島建設","202203","20220513","2079695","123382","152103","103867","2337741","945705","81447","359904","40.5","11.41","4.61","528656011"
"1813","不動テトラ","202203","20220513","66778","3297","3381","2063","51901","29956","5000","3245","57.7","6.96","3.89","16489522"
"1814","大末建設","202203","20220510","69645","2708","2712","1816","48662","20629","4324","378","42.4","9.14","4.07","10614225"
"1815","鉄建建設","202203","20220513","151551","5247","6224","4706","173079","63470","18293","28975","36.7","7.47","2.63","15668956"
"1820","西松建設","202203","20220511","323754","23540","23497","15103","477613","151328","23513","160039","31.7","8.45","3.18","55591502"
"1821","三井住友建設","202203","20220511","403275","-7459","-8340","-7022","394073","91388","12003","64794","23.2","-7.25","-1.82","162673321"
"1822","大豊建設","202203","20220513","156520","8857","9316","5987","169621","73382","10549","7563","43.3","8.17","3.52","18083163"
"1826","佐田建設","202203","20220513","26660","741","739","355","25837","14554","1886","1542","56.3","2.45","1.39","15521233"
"1827","ナカノフドー建設","202203","20220711","96470","-840","-627","-1594","82190","34427","5061","1180","41.9","-4.53","-1.91","34498097"
"1828","田辺工業","202203","20220513","42526","2814","2898","1872","35093","19367","885","1100","55.2","10.07","5.47","10728000"
"1833","奥村組","202203","20220513","242458","12647","14012","12541","332348","166958","19838","35654","50.2","7.46","3.79","38665226"
"1835","東鉄工業","202203","20220513","114718","7261","7576","5326","136669","97126","2810","-","71.1","5.53","3.83","36100000"
"1840","土屋ホールディングス","202210","20221215","34716","148","228","230","21646","12093","7114","-","55.9","1.91","1.05","25775118"
"1841","サンユー建設","202203","20220519","8119","119","174","131","14105","11102","310","220","78.7","1.18","0.96","4000000"
"1844","大盛工業","202207","20220914","5244","314","317","254","9538","4403","2779","3241","46.2","5.88","2.76","15072849"
"1847","イチケン","202203","20220517","83776","4674","4636","2985","57617","26776","4329","5897","46.5","11.62","5.35","7284400"
"1848","富士ピー・エス","202203","20220513","27301","1048","1111","775","27786","9830","2379","4951","35.4","7.88","2.79","18602244"
"1850","南海辰村建設","202203","20220427","37189","1931","1869","1310","32445","12670","2000","4447","39.1","10.91","3.83","28835730"
"1852","淺沼組","202203","20220513","135478","4835","4904","3748","90132","42200","9614","10678","46.8","8.95","4.11","16157258"
"1853","森組","202203","20220512","31319","1902","1855","1255","25413","13966","1640","800","55","9.26","5.12","32800000"
"1860","戸田建設","202203","20220513","501509","24385","28111","18560","761199","316575","23001","179395","41.6","5.92","2.48","322656796"
"1861","熊谷組","202203","20220513","425216","22743","23732","15850","371096","169302","30108","12152","45.6","9.52","4.22","43900360"
"1866","北野建設","202203","20220510","60103","2394","2864","1739","65500","36984","9116","4000","56.5","4.77","2.57","6836853"
"1867","植木組","202203","20220512","47678","2293","2375","1440","43632","24123","5315","2522","55.3","6.11","3.22","6873528"
"1870","矢作建設工業","202203","20220510","93090","6169","6174","4842","116423","57532","6808","30400","49.4","8.63","3.93","44607457"
"1871","ピーエス三菱","202203","20220512","109639","6618","6647","4539","93100","45533","4218","10008","48.9","10.35","4.82","47486029"
"1873","日本ハウスホールディングス","202210","20221212","42778","2523","2329","1474","47540","22915","3873","10805","48.2","6.56","3.25","40000000"
"1878","大東建託","202203","20220428","1583003","99594","103671","69580","1005879","361458","29060","94720","35.9","20.92","7.23","68918979"
"1879","新日本建設","202203","20220511","107092","15549","15583","10796","140177","91613","3665","-","65.4","12.44","8.1","61360720"
"1882","東亜道路工業","202203","20220513","112118","5516","5590","3714","84691","49074","7584","1914","57.9","7.75","4.31","10440046"
"1884","日本道路","202203","20220512","156379","8202","8582","5667","152194","94868","12290","8200","62.3","6.06","3.71","8789268"
"1885","東亜建設工業","202203","20220513","219814","9874","10138","7385","212916","86028","18976","30862","40.4","9.15","3.54","22494629"
"1887","日本国土開発","202205","20220715","126790","7957","8398","7389","154724","79149","5012","28252","51.2","9.66","4.87","98255000"
"1888","若築建設","202203","20220513","89164","6834","6781","4736","81479","37095","11374","6183","45.5","13.57","5.48","12964993"
"1890","東洋建設","202203","20220512","152524","9616","9139","5863","135582","68119","14049","5591","50.2","8.86","4.12","94371183"
"1893","五洋建設","202203","20220513","458231","15939","15659","10753","467364","159600","30449","92556","34.1","6.77","2.34","286013910"
"1897","金下建設","202212","20230210","9898","146","287","190","19991","16922","1000","-","84.6","1.13","0.95","3806660"
"1898","世紀東急工業","202203","20220511","85132","4418","4358","3304","78295","40497","2000","7007","51.7","8.13","4.19","37424507"
"1899","福田組","202212","20230214","154358","5208","5451","3650","134351","77834","5158","3346","57.9","4.75","2.75","8988111"
