"SC","名称","市場","業種","時価総額（百万円）","発行済株式数","配当利回り（予想）","1株配当（予想）","PER（予想）","PBR（実績）","EPS（予想）","BPS（実績）","最低購入額","単元株","高値日付","年初来高値","安値日付","年初来安値"
"3839","ODKソリューションズ","東証ST","情報通信","5109","8200000","1.61","10","14.84","0.9","41.99","690.52","62300","100","20231205","678","20231030","541"
"3840","パス","東証ST","情報通信","7973","54609516","0","0","-","7","-3.2","20.86","14600","100","20231213","177","20230106","53"
"3841","ジーダット","東証ST","情報通信","5083","3909800","2.31","30","18.53","1.47","70.14","885.61","130000","100","20240228","1408","20230106","815"
"3842","ネクストジェン","東証GR","情報通信","2546","3041800","0.6","5","21.22","1.38","39.45","607.57","83700","100","20230627","1060","20230316","628"
"3843","フリービット","東証PR","情報通信","38282","23414000","1.65","27","10.88","3.28","150.27","498.75","163500","100","20230612","1917","20230104","972"
"3844","コムチュア","東証PR","情報通信","59421","32241600","2.5","46","18.65","3.64","98.81","506.82","184300","100","20230130","2515","20240215","1710"
"3845","アイフリークモバイル","東証ST","情報通信","1641","17839641","0","0","-","2.37","-5.21","38.79","9200","100","20230524","158","20240216","85"
"3847","パシフィックシステム","東証ST","情報通信","6038","1480000","3.24","132","11.24","1.03","362.93","3972.66","408000","100","20240221","4240","20230106","2950"
"3848","データ・アプリケーション","東証ST","情報通信","7933","7414000","2.24","24","15.4","1.42","69.49","753.01","107000","100","20240205","1259","20230630","853"
"3850","エヌ・ティ・ティ・データ・イントラマート","東証ST","情報通信","9727","4955000","1.78","35","54.41","2.03","36.08","964.78","196300","100","20240205","2090","20230518","1520"
"3851","日本一ソフトウェア","東証ST","情報通信","5701","5131400","0.45","5","-","0.74","-","1494.88","111100","100","20230120","1251","20231227","1013"
"3853","アステリア","東証PR","情報通信","11334","17491265","-","-","-","2.15","-","301.03","64800","100","20230711","890","20240118","572"
"3854","アイル","東証PR","情報通信","97916","25042528","0.87","34","36.48","12.27","107.18","318.64","391000","100","20230929","4075","20230106","1658"
"3856","Abalance","東証ST","電気機器","39394","17477433","-","-","5.58","2.64","403.9","855.33","225400","100","20230516","13620","20240215","1955"
"3857","ラック","東証ST","情報通信","25097","31293120","3.24","26","19.36","1.68","41.43","476.51","80200","100","20230104","825","20230530","680"
"3858","ユビキタスAI","東証ST","情報通信","6641","10459000","0","0","68.5","2.96","9.27","214.27","63500","100","20240229","735","20231225","300"
"3861","王子ホールディングス","東証PR","パルプ・紙","582458","1014381817","2.79","16","9.99","0.55","57.5","1050.39","57420","100","20230919","678","20231215","511"
"3863","日本製紙","東証PR","パルプ・紙","132531","116254892","-","-","8.77","0.32","129.96","3587.99","114000","100","20230920","1438","20230119","911"
"3864","三菱製紙","東証PR","パルプ・紙","25189","44741433","0.89","5","6.16","0.34","91.39","1650.5","56300","100","20230922","664","20230118","272"
"3865","北越コーポレーション","東証PR","パルプ・紙","271925","188053114","1.24","18","27.01","1","53.53","1444.95","144600","100","20231225","1728","20230216","739"
"3877","中越パルプ工業","東証PR","パルプ・紙","24038","13354688","3.33","60","6.48","0.43","277.99","4216.84","180000","100","20240209","2072","20230213","949"
"3878","巴川コーポレーション","東証ST","化学","8945","10389406","1.74","15","29.76","0.67","28.93","1286.11","86100","100","20240109","1120","20231024","626"
