id,sec-code,filer-name,description
S100C3Y1,68970,株式会社ツインバード,四半期報告書－第56期第3四半期(2017/09/01－2017/11/30)
S100C461,23790,ディップ株式会社,四半期報告書－第21期第3四半期(2017/09/01－2017/11/30)
S100C3OZ,39770,フュージョン株式会社,四半期報告書－第27期第3四半期(2017/09/01－2017/11/30)
S100C44E,97400,セントラル警備保障株式会社,四半期報告書－第46期第3四半期(2017/09/01－2017/11/30)
S100C46A,27220,株式会社ＩＫホールディングス,四半期報告書－第37期第2四半期(2017/09/01－2017/11/30)
S100C46V,96010,松竹株式会社,四半期報告書－第152期第3四半期(2017/09/01－2017/11/30)
S100C3Y7,60440,株式会社三機サービス,四半期報告書－第41期第2四半期(2017/09/01－2017/11/30)
S100C3QV,78070,株式会社幸和製作所,四半期報告書－第31期第3四半期(2017/09/01－2017/11/30)
S100C3R9,60480,株式会社デザインワン・ジャパン,四半期報告書－第13期第1四半期(2017/09/01－2017/11/30)
S100C463,35620,株式会社Ｎｏ．１,四半期報告書－第29期第3四半期(2017/09/01－2017/11/30)
S100C3OW,,株式会社ファミリーマート,四半期報告書－第37期第3四半期(2017/09/01－2017/11/30)
S100C475,30210,株式会社パシフィックネット,四半期報告書－第30期第2四半期(2017/09/01－2017/11/30)
S100C441,75990,株式会社ＩＤＯＭ,四半期報告書－第24期第3四半期(2017/09/01－2017/11/30)
S100C31Q,,株式会社ヒト・コミュニケーションズ,四半期報告書－第22期第1四半期(2017/09/01－2017/11/30)
S100C3ZZ,88860,株式会社ウッドフレンズ,四半期報告書－第36期第2四半期(2017/09/01－2017/11/30)
S100C3UY,31980,ＳＦＰホールディングス株式会社,四半期報告書－第8期第3四半期(2017/09/01－2017/11/30)
S100C1A0,65320,株式会社ベイカレント・コンサルティング,四半期報告書－第4期第3四半期(2017/09/01－2017/11/30)
S100C3ND,33820,株式会社セブン＆アイ・ホールディングス,四半期報告書－第13期第3四半期(2017/09/01－2017/11/30)
S100C3N6,30930,株式会社トレジャー・ファクトリー,四半期報告書－第23期第3四半期(2017/09/01－2017/11/30)
S100C3M5,,株式会社トライステージ,四半期報告書－第12期第3四半期(2017/09/01－2017/11/30)
S100C3PX,37910,株式会社ＩＧポート,四半期報告書－第29期第2四半期(2017/09/01－2017/11/30)
S100C44N,35570,ユナイテッド＆コレクティブ株式会社,四半期報告書－第18期第3四半期(2017/09/01－2017/11/30)
S100C2WE,26870,株式会社シー・ヴイ・エス・ベイエリア,四半期報告書－第38期第3四半期(2017/09/01－2017/11/30)
S100C3F4,82440,株式会社近鉄百貨店,四半期報告書－第124期第3四半期(2017/09/01－2017/11/30)
S100C445,26830,株式会社魚喜,四半期報告書－第33期第3四半期(2017/09/01－2017/11/30)
S100C3WS,60580,株式会社ベクトル,四半期報告書－第26期第3四半期(2017/09/01－2017/11/30)
S100C421,80160,株式会社オンワードホールディングス,四半期報告書－第71期第3四半期(2017/09/01－2017/11/30)
S100C3RW,35010,住江織物株式会社,四半期報告書－第129期第2四半期(2017/09/01－2017/11/30)
S100C3TO,27890,株式会社カルラ,四半期報告書－第46期第3四半期(2017/09/01－2017/11/30)
S100C3RO,99770,株式会社アオキスーパー,四半期報告書－第44期第3四半期(2017/09/01－2017/11/30)
S100C47I,76080,株式会社エスケイジャパン,四半期報告書－第29期第3四半期(2017/09/01－2017/11/30)
S100C3XW,99450,株式会社プレナス,四半期報告書－第58期第3四半期(2017/09/01－2017/11/30)
S100C3PG,36270,ＪＮＳホールディングス株式会社,四半期報告書－第14期第3四半期(2017/09/01－2017/11/30)
S100C37L,47600,株式会社アルファ,四半期報告書－第36期第1四半期(2017/09/01－2017/11/30)
S100C3QX,59930,知多鋼業株式会社,四半期報告書－第62期第3四半期(2017/09/01－2017/11/30)
S100C3HA,45300,久光製薬株式会社,四半期報告書－第116期第3四半期(2017/09/01－2017/11/30)
S100C3SN,98350,株式会社ジュンテンドー,四半期報告書－第57期第3四半期(2017/09/01－2017/11/30)
S100C457,31740,株式会社ハピネス・アンド・ディ,四半期報告書－第28期第1四半期(2017/09/01－2017/11/30)
S100C40Q,27690,株式会社ヴィレッジヴァンガードコーポレーション,四半期報告書－第30期第2四半期(2017/09/01－2017/11/30)
S100C42F,81670,株式会社リテールパートナーズ,四半期報告書－第65期第3四半期(2017/09/01－2017/11/30)
S100C43X,34400,日創プロニティ株式会社,四半期報告書－第35期第1四半期(2017/09/01－2017/11/30)
S100C3X6,33530,株式会社メディカル一光グループ,四半期報告書－第33期第3四半期(2017/09/01－2017/11/30)
